SystemID,protein_name,variant,family,is_biosensor,uniprot_id,pdb_id,excitation_nm,emission_nm,temperature_K,pH,contrast_ratio,contrast_ci_low,contrast_ci_high,contrast_source,condition_text,source_refs,license_source
FP_SEED_0001,GFP,,GFP-like,0,P42212,6FWW,,,,,,,,none,,UniProt:P42212; PDB:6FWW,CC BY 4.0 (UniProt)
FP_SEED_0002,EGFP,,GFP-like,0,,6XZF,,,,,,,,none,,PDB:6XZF,CC0 (PDB)
FP_SEED_0003,sfGFP,,GFP-like,0,,8BXP,,,,,,,,none,,PDB:8BXP,CC0 (PDB)
FP_SEED_0004,mEGFP,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0005,mNeonGreen,,GFP-like,0,,9FEM,,,,,,,,none,,PDB:9FEM,CC0 (PDB)
FP_SEED_0006,mClover,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0007,mClover3,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0008,mCitrine,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0009,mVenus,,GFP-like,0,,7PNN,,,,,,,,none,,PDB:7PNN,CC0 (PDB)
FP_SEED_0010,YFP,,GFP-like,0,P21578,3W1C,,,,,,,,none,,UniProt:P21578; PDB:3W1C,CC BY 4.0 (UniProt)
FP_SEED_0011,SYFP2,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0012,mTurquoise2,,CFP-like,0,,8IYZ,,,,,,,,none,,PDB:8IYZ,CC0 (PDB)
FP_SEED_0013,ECFP,,CFP-like,0,,,,,,,,,,none,,,
FP_SEED_0014,mCerulean3,,CFP-like,0,,,,,,,,,,none,,,
FP_SEED_0015,mTFP1,,Teal,0,Q9UDX5,6FP9,,,,,,,,none,,UniProt:Q9UDX5; PDB:6FP9,CC BY 4.0 (UniProt)
FP_SEED_0016,TagBFP2,,BFP-like,0,,,,,,,,,,none,,,
FP_SEED_0017,EBFP2,,BFP-like,0,,,,,,,,,,none,,,
FP_SEED_0018,mWasabi,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0019,mEmerald,,GFP-like,0,,,,,,,,,,none,,,
FP_SEED_0020,mTagRFP-T,,RFP,0,,1A7U,,,,,,,,none,,PDB:1A7U,CC0 (PDB)
FP_SEED_0021,mTagRFP,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0022,mCherry,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0023,mScarlet,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0024,mScarlet-I,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0025,mScarlet-H,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0026,mApple,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0027,mRuby2,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0028,mRuby3,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0029,mKO2,,Orange,0,,,,,,,,,,none,,,
FP_SEED_0030,mOrange2,,Orange,0,,,,,,,,,,none,,,
FP_SEED_0031,tdTomato,,RFP-dimer,0,,,,,,,,,,none,,,
FP_SEED_0032,DsRed2,,RFP-dimer,0,,,,,,,,,,none,,,
FP_SEED_0033,mKate2,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0034,FusionRed,,RFP,0,,,,,,,,,,none,,,
FP_SEED_0035,Katushka,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0036,eqFP650,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0037,iRFP670,,NIR,0,,,,,,,,,,none,,,
FP_SEED_0038,iRFP713,,NIR,0,,,,,,,,,,none,,,
FP_SEED_0039,mCardinal,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0040,mPlum,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0041,mMaroon1,,Far-red,0,,,,,,,,,,none,,,
FP_SEED_0042,GCaMP6s,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0043,GCaMP6f,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0044,GCaMP6m,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0045,jGCaMP7s,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0046,jGCaMP7f,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0047,jGCaMP8s,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0048,jGCaMP8f,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0049,R-GECO1,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0050,jRGECO1a,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0051,RCaMP1h,,Calcium,1,,,,,,,,,,none,,,
FP_SEED_0052,iGluSnFR,,Glutamate,1,,,,,,,,,,none,,,
FP_SEED_0053,iGluSnFR-A184S,,Glutamate,1,,,,,,,,,,none,,,
FP_SEED_0054,dLight1.1,,Dopamine,1,,,,,,,,,,none,,,
FP_SEED_0055,dLight1.2,,Dopamine,1,,,,,,,,,,none,,,
FP_SEED_0056,GRAB-DA2m,,Dopamine,1,,,,,,,,,,none,,,
FP_SEED_0057,Epac-SH187,,cAMP,1,,,,,,,,,,none,,,
FP_SEED_0058,PinkFlamindo,,cAMP,1,,,,,,,,,,none,,,
FP_SEED_0059,PercevalHR,,ATP/ADP,1,,,,,,,,,,none,,,
FP_SEED_0060,HyPer3,,H2O2,1,,,,,,,,,,none,,,
FP_SEED_0061,roGFP2,,Redox,1,,,,,,,,,,none,,,
FP_SEED_0062,pHluorin,,pH,1,,,,,,,,,,none,,,
FP_SEED_0063,ASAP3,,Voltage,1,,,,,,,,,,none,,,
FP_SEED_0064,ArcLight,,Voltage,1,,,,,,,,,,none,,,
FP_SEED_0065,VSFP-Butterfly,,Voltage,1,,,,,,,,,,none,,,
FP_SEED_0066,pHuji,,pH,1,,,,,,,,,,none,,,
